panel,panel_stratum,gene,config,description,rna_protein_correlation,adaptive_rna_trust,n_candidates,gene_has_protein,n_candidates_depmap_rna,n_candidates_hpa_rna,n_candidates_geo_rna,n_candidates_protein,final_score_std,final_score_range,n_unique_final_scores,largest_final_score_tie,tied_candidate_fraction,confidence_std,n_unique_confidence_scores,confidence_is_constant,candidate_set_same_as_A0,ranking_identical_to_A0,top10_identical_to_A0,top10_jaccard_vs_A0,top1_identical_to_A0,rank_spearman_vs_A0,mean_abs_rank_change_vs_A0,max_abs_rank_change_vs_A0,mean_abs_score_change_vs_A0,n_shared_candidates_with_A0
unfiltered_random,unfiltered_random,AC004408.1,B0_rna_mean,RNA-only mean ranking; no protein or confidence in final score,,0.6,1412,False,1412,0,0,0,0.04962130697086818,1.0,36,1272,0.9886685552407932,8.770761894538737e-15,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.06062096317280452,1412
unfiltered_random,unfiltered_random,AC004408.1,A0_team_baseline,"Team baseline: RNA .55, protein .30, confidence .15",,0.6,1412,False,1412,0,0,0,0.04217363958772368,0.8500000000000001,36,1272,0.9886685552407932,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC004408.1,A1a_no_direct_protein,Remove direct protein; retain protein-derived confidence,,0.6,1412,False,1412,0,0,0,0.04217363958772368,0.8500000000000001,36,1272,0.9886685552407932,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC004408.1,A1b_no_protein_evidence,Remove direct protein and all protein-derived confidence,,0.6,1412,False,1412,0,0,0,0.0421842863299625,0.8500000000000001,35,1272,0.9893767705382436,8.770761894538737e-15,1,True,True,False,True,1.0,True,0.9999996394023463,0.009206798866855524,6.5,0.04140623229461756,1412
unfiltered_random,unfiltered_random,AC004408.1,A1c_no_protein_confidence,Retain direct protein; remove protein-derived confidence only,,0.6,1412,False,1412,0,0,0,0.0421842863299625,0.8500000000000001,35,1272,0.9893767705382436,8.770761894538737e-15,1,True,True,False,True,1.0,True,0.9999996394023463,0.009206798866855524,6.5,0.04140623229461756,1412
unfiltered_random,unfiltered_random,AC004408.1,A2_no_confidence,Remove the full confidence block; renormalise RNA/protein,,0.6,1412,False,1412,0,0,0,0.04962130697086818,1.0,36,1272,0.9886685552407932,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.06062096317280452,1412
unfiltered_random,unfiltered_random,AC004408.1,A2a_no_conf_completeness,Remove completeness from confidence; renormalise retained components,,0.6,1412,False,1412,0,0,0,0.04218031841969096,0.85,35,1272,0.9893767705382436,5.6066262743570405e-15,1,True,True,False,True,1.0,True,0.9999996394023463,0.009206798866855524,6.5,0.008795892351274785,1412
unfiltered_random,unfiltered_random,AC004408.1,A2b_no_conf_source_support,Remove source support from confidence; renormalise retained components,,0.6,1412,False,1412,0,0,0,0.04217702425041124,0.8500000000000001,35,1272,0.9893767705382436,0.0,1,True,True,False,True,1.0,True,0.9999996394023463,0.009206798866855524,6.5,0.013102337110481586,1412
unfiltered_random,unfiltered_random,AC004408.1,A2c_no_conf_consistency,Remove RNA-protein consistency; renormalise retained components,,0.6,1412,False,1412,0,0,0,0.042177024250411414,0.85,35,1272,0.9893767705382436,5.828670879282072e-15,1,True,True,False,True,1.0,True,0.9999996394023463,0.009206798866855524,6.5,0.004397662889518409,1412
unfiltered_random,unfiltered_random,AC004408.1,A3_equal_bio,Equal RNA/protein biological weights,,0.6,1412,False,1412,0,0,0,0.04217363958772368,0.8500000000000001,36,1272,0.9886685552407932,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC004408.1,A3b_reversed_bio,Protein biological weight greater than RNA,,0.6,1412,False,1412,0,0,0,0.04217363958772368,0.8500000000000001,36,1272,0.9886685552407932,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC004408.1,A4_adaptive_trust,Team baseline plus gene-level adaptive RNA trust,,0.6,1412,False,1412,0,0,0,0.04217363958772368,0.8500000000000001,36,1272,0.9886685552407932,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC004408.1,A5_v3_structure,Flat v3 RNA/protein/consistency/completeness structure,,0.6,1412,False,1412,0,0,0,0.04411282861039536,0.889,35,1272,0.9893767705382436,1.099120794378905e-14,1,True,True,False,True,1.0,True,0.9999996394023463,0.009206798866855524,6.5,0.006180169971671384,1412
unfiltered_random,unfiltered_random,AC004408.1,A6_v3_full,Flat v3 structure plus adaptive trust,,0.6,1412,False,1412,0,0,0,0.04411282861039536,0.889,35,1272,0.9893767705382436,1.099120794378905e-14,1,True,True,False,True,1.0,True,0.9999996394023463,0.009206798866855524,6.5,0.006180169971671384,1412
unfiltered_random,unfiltered_random,AC006040.1,B0_rna_mean,RNA-only mean ranking; no protein or confidence in final score,,0.6,1412,False,1412,0,0,0,0.05589010379989002,1.0,20,1267,0.9950424929178471,8.770761894538737e-15,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.06057351274787535,1412
unfiltered_random,unfiltered_random,AC006040.1,A0_team_baseline,"Team baseline: RNA .55, protein .30, confidence .15",,0.6,1412,False,1412,0,0,0,0.04750335230936178,0.8500000000000001,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC006040.1,A1a_no_direct_protein,Remove direct protein; retain protein-derived confidence,,0.6,1412,False,1412,0,0,0,0.04750335230936178,0.8500000000000001,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC006040.1,A1b_no_protein_evidence,Remove direct protein and all protein-derived confidence,,0.6,1412,False,1412,0,0,0,0.04751520329482962,0.8500000000000001,20,1267,0.9950424929178471,8.770761894538737e-15,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.0414077195467422,1412
unfiltered_random,unfiltered_random,AC006040.1,A1c_no_protein_confidence,Retain direct protein; remove protein-derived confidence only,,0.6,1412,False,1412,0,0,0,0.04751520329482962,0.8500000000000001,20,1267,0.9950424929178471,8.770761894538737e-15,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.0414077195467422,1412
unfiltered_random,unfiltered_random,AC006040.1,A2_no_confidence,Remove the full confidence block; renormalise RNA/protein,,0.6,1412,False,1412,0,0,0,0.05589010379989002,1.0,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.06057351274787535,1412
unfiltered_random,unfiltered_random,AC006040.1,A2a_no_conf_completeness,Remove completeness from confidence; renormalise retained components,,0.6,1412,False,1412,0,0,0,0.04751476581814036,0.85,20,1267,0.9950424929178471,5.6066262743570405e-15,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.008792351274787533,1412
unfiltered_random,unfiltered_random,AC006040.1,A2b_no_conf_source_support,Remove source support from confidence; renormalise retained components,,0.6,1412,False,1412,0,0,0,0.047506526897271854,0.8500000000000001,20,1267,0.9950424929178471,0.0,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.013101487252124648,1412
unfiltered_random,unfiltered_random,AC006040.1,A2c_no_conf_consistency,Remove RNA-protein consistency; renormalise retained components,,0.6,1412,False,1412,0,0,0,0.047506526897271986,0.85,20,1267,0.9950424929178471,5.828670879282072e-15,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.00439851274787535,1412
unfiltered_random,unfiltered_random,AC006040.1,A3_equal_bio,Equal RNA/protein biological weights,,0.6,1412,False,1412,0,0,0,0.04750335230936178,0.8500000000000001,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC006040.1,A3b_reversed_bio,Protein biological weight greater than RNA,,0.6,1412,False,1412,0,0,0,0.04750335230936178,0.8500000000000001,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC006040.1,A4_adaptive_trust,Team baseline plus gene-level adaptive RNA trust,,0.6,1412,False,1412,0,0,0,0.04750335230936178,0.8500000000000001,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC006040.1,A5_v3_structure,Flat v3 RNA/protein/consistency/completeness structure,,0.6,1412,False,1412,0,0,0,0.049684262931587814,0.889,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.006180028328611894,1412
unfiltered_random,unfiltered_random,AC006040.1,A6_v3_full,Flat v3 structure plus adaptive trust,,0.6,1412,False,1412,0,0,0,0.049684262931587814,0.889,20,1267,0.9950424929178471,1.099120794378905e-14,1,True,True,True,True,1.0,True,0.9999999999999999,0.0,0.0,0.006180028328611894,1412
unfiltered_random,unfiltered_random,AC007546.3,B0_rna_mean,RNA-only mean ranking; no protein or confidence in final score,,0.6,1412,False,1412,0,0,0,0.12271099301987497,1.0,143,226,0.9376770538243626,8.770761894538737e-15,1,True,True,False,True,1.0,True,0.9999937186635521,0.09490084985835694,52.5,0.05635729461756374,1412
unfiltered_random,unfiltered_random,AC007546.3,A0_team_baseline,"Team baseline: RNA .55, protein .30, confidence .15",,0.6,1412,False,1412,0,0,0,0.10430435829545155,0.8500000000000001,143,226,0.9383852691218131,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC007546.3,A1a_no_direct_protein,Remove direct protein; retain protein-derived confidence,,0.6,1412,False,1412,0,0,0,0.10430435829545155,0.8500000000000001,143,226,0.9383852691218131,1.099120794378905e-14,1,True,True,True,True,1.0,True,1.0,0.0,0.0,0.0,1412
unfiltered_random,unfiltered_random,AC007546.3,A1b_no_protein_evidence,Remove direct protein and all protein-derived confidence,,0.6,1412,False,1412,0,0,0,0.10430288747354874,0.8500000000000001,146,226,0.9355524079320113,8.770761894538737e-15,1,True,True,False,True,1.0,True,0.999967601581392,0.2953257790368272,93.5,0.04146246458923512,1412
unfiltered_random,unfiltered_random,AC007546.3,A1c_no_protein_confidence,Retain direct protein; remove protein-derived confidence only,,0.6,1412,False,1412,0,0,0,0.10430288747354874,0.8500000000000001,146,226,0.9355524079320113,8.770761894538737e-15,1,True,True,False,True,1.0,True,0.999967601581392,0.2953257790368272,93.5,0.04146246458923512,1412
